seed,dq,dp,de,dgf,dgm,dg1,dg0,pf,pm,p1,p0,blue_daf,blue_dam,blue_da1,blue_da0,pink_daf,pink_dam,pink_da1,pink_da0,blue_laf,blue_lam,blue_la1,blue_la0,pink_laf,pink_lam,pink_la1,pink_la0,pedid,xr1,blue_recomb,x1,xr2,pink_recomb,x2,x,cdgf,cdgm,cdg1,cdg0,clgf,clgm,clg1,clg0,i,dgeno,lgeno,QTp,QLp
389956261,0.4,0.6,0.1,2,2,,,0.4756506897,0.5499365051,,,1,1,,,2,2,,,5,5,,,2,5,,,1,,,,,,,0.4993650506,1/2,,,,2/5,,,,1,1/2,2/5,0.4756506897,0
389956261,0.4,0.6,0.1,2,2,,,0.4756506897,0.5499365051,,,1,1,,,2,2,,,5,5,,,2,5,,,1,,,,,,,0.4993650506,1/2,1/2,,,2/5,5/5,,,2,1/2,5/5,0.5499365051,0
1718339575,0.4,0.6,0.1,1,1,,,-0.842779447,-0.855112661,,,1,1,,,1,1,,,3,2,,,6,4,,,2,,,,,,,0.4488733895,1/1,,,,3/6,,,,1,1/1,3/6,-0.842779447,0
1718339575,0.4,0.6,0.1,1,1,,,-0.842779447,-0.855112661,,,1,1,,,1,1,,,3,2,,,6,4,,,2,,,,,,,0.4488733895,1/1,1/1,,,3/6,2/4,,,2,1/1,2/4,-0.855112661,0
463937847,0.4,0.6,0.1,2,2,,,0.5031416389,0.5304009329,,,2,2,,,1,1,,,2,5,,,1,6,,,3,,,,,,,0.304009329,1/2,,,,1/2,,,,1,1/2,1/2,0.5031416389,0
463937847,0.4,0.6,0.1,2,2,,,0.5031416389,0.5304009329,,,2,2,,,1,1,,,2,5,,,1,6,,,3,,,,,,,0.304009329,1/2,1/2,,,1/2,5/6,,,2,1/2,5/6,0.5304009329,0
1797629599,0.4,0.6,0.1,1,1,,,-0.881862986,-0.850944425,,,1,1,,,1,1,,,5,2,,,1,4,,,4,,,,,,,0.4905557529,1/1,,,,1/5,,,,1,1/1,1/5,-0.881862986,0
1797629599,0.4,0.6,0.1,1,1,,,-0.881862986,-0.850944425,,,1,1,,,1,1,,,5,2,,,1,4,,,4,,,,,,,0.4905557529,1/1,1/1,,,1/5,2/4,,,2,1/1,2/4,-0.850944425,0
936745137,0.4,0.6,0.1,2,1,,,0.3869183683,-1.011292623,,,1,1,,,2,1,,,1,3,,,6,3,,,5,,,,,,,-1.112926231,1/2,,,,1/6,,,,1,1/2,1/6,0.3869183683,0
936745137,0.4,0.6,0.1,2,1,,,0.3869183683,-1.011292623,,,1,1,,,2,1,,,1,3,,,6,3,,,5,,,,,,,-1.112926231,1/2,1/1,,,1/6,3/3,,,2,1/1,3/3,-1.011292623,0
866987325,0.4,0.6,0.1,3,3,,,0.9505996118,0.8226808289,,,2,2,,,2,2,,,3,6,,,4,3,,,6,,,,,,,-0.773191711,2/2,,,,3/4,,,,1,2/2,3/4,0.9505996118,1
866987325,0.4,0.6,0.1,3,3,,,0.9505996118,0.8226808289,,,2,2,,,2,2,,,3,6,,,4,3,,,6,,,,,,,-0.773191711,2/2,2/2,,,3/4,3/6,,,2,2/2,3/6,0.8226808289,1
117568856,0.4,0.6,0.1,2,2,,,0.4477616849,0.5577706572,,,2,2,,,1,1,,,4,4,,,4,4,,,7,,,,,,,0.5777065722,1/2,,,,4/4,,,,1,1/2,4/4,0.4477616849,0
